ID,原文案,对白,时长(s),角色,场景,Sora 提示词
"11","可令人诧异的是，我竟拒绝了。","","2","","动漫感极强的冷色调室内。青色砖墙布满裂缝，直棂窗外映照着深蓝色的漫天风雪。室内堆满金黄色的干草，光线昏暗。窗台处有一层厚厚的积雪，冷气在空气中凝结成白色颗粒。请输入环境视觉描述...","Shot 1:
duration: 4.5sec
Scene: [Extreme Close-Up, Static] 光线昏暗的冷色调空间内，幽蓝色的环境光勾勒出画面轮廓，空气中悬浮着凝结的白色冷气颗粒。画面中心，小采的手正稳稳托着一个白胖的馒头，馒头表面散发出浓烈而温暖的白色蒸汽，蒸汽在冷空气中袅袅上升。楚政沾满灰尘、粗糙暗沉的手从画面边缘的深邃阴影中缓缓伸出，指尖轻轻抵住馒头的边缘。楚政的手指将冒着热气的馒头缓慢而坚决地推回。随着推力，柔软的馒头表面产生轻微的凹陷形变，热气因楚政手部的扰动而在指尖周围翻卷，冷暖色调在两人交接的手部形成强烈的视觉对比。音效: Soft rustle of fabric, faint friction of rough skin against soft dough, howling cold wind in the background."
"12","明天就能正常解禁，这个馒头还是不吃为妙，以免节外生枝，况且我还有更重要的事想求她，小采，能不能帮我弄到那玉盏的碎片。","小采，能不能帮我弄到那玉盏的碎片","10","","动漫感极强的冷色调室内。青色砖墙布满裂缝，直棂窗外映照着深蓝色的漫天风雪。室内堆满金黄色的干草，光线昏暗。窗台处有一层厚厚的积雪，冷气在空气中凝结成白色颗粒。请输入环境视觉描述...","Shot 1:
duration: 4.5sec
Scene: [Over-the-shoulder shot, slight Push in] 光线昏暗的室内，青色砖墙布满裂缝。深蓝色的风雪微光从直棂窗透入，空气中悬浮着冷气凝结的白色颗粒。门缝漏进的一线微光精准地打在楚政的半边脸上，楚政的另一半脸深深隐藏在厚重的阴影中。前景是小采模糊的肩膀轮廓。楚政嘴唇呈现严重的干裂状态，楚政身体微微前倾，眼神坚定而锐利地注视前方。楚政呼吸时，口中呼出的微弱白气与空气中的冷霜颗粒交织消散。音效: Howling wind outside, low and tense whisper, faint rustling of dry straw.

Shot 2:
duration: 3.5sec
Scene: [Extreme Close-up, Push in] 阴影愈发深邃，冷空气颗粒在微光光束中缓缓飘动。摄影机缓慢向楚政的眼部推近。楚政干裂的嘴唇微微开合，楚政眼神深邃。在光影交界处，楚政的瞳孔深处突然流转过一丝极难察觉的微弱金光，宛如黑暗中即将修补裂缝的金缮流光。音效: Heartbeat thump, soft breath, subtle high-pitched resonance."
"13","小采没有多问，答应后匆匆离去。","","3","","动漫感极强的冷色调室内。青色砖墙布满裂缝，直棂窗外映照着深蓝色的漫天风雪。室内堆满金黄色的干草，光线昏暗。窗台处有一层厚厚的积雪，冷气在空气中凝结成白色颗粒。请输入环境视觉描述...","Shot 1:
duration: 4.0sec
Scene: [Medium Shot, Static] 青色砖墙布满裂缝，直棂窗外映照着深蓝色的漫天风雪，冷气在空气中凝结成细小的白色颗粒。室内堆满金黄色的干草，光线昏暗。小采将馒头迅速包裹进一块粗布中，用力点头后转身快步走向半开的木门。她的步伐在干草上踩出轻微的下陷，带起几根干草飞舞，粗布包裹被紧紧攥在手中。半开的门外透入一道暖黄色光束，照亮了空气中浮动的灰尘。音效: Rustling of dry grass, hurried footsteps, cloth shifting.

Shot 2:
duration: 3.5sec
Scene: [Medium Shot, Slow Push in] 柴房门框区域，门外是幽暗的走廊与隐约的风雪。小采的身影在门外迅速没入阴影中消失。厚重且布满裂痕的木门被迅速拉动合拢。伴随木门的移动，投射进室内的暖黄光束逐渐变窄，最终被彻底切断。木门沉闷地撞击门框，震落一层细灰。柴房内瞬间被深沉的石板灰与冰蓝色阴影吞没，画面重归冷寂，仅剩窗外透进的幽蓝冷光，形成物理上的隔绝屏障。音效: Creaking wooden hinges, dull heavy thud of the door closing, howling wind outside."
"14","然而我怎么也没想到，此时大小姐宋绫雪竟站在角落，将小采的一举一动尽收眼底。","","6","","请输入环宏伟的盛唐园林景观。白雪覆盖的朱红长廊蜿蜒穿过庭院，廊柱上镶嵌着暗金色的云纹铜饰。院中心是一个半冻结的汉白玉景观池，池畔矗立着形态怪异的太湖石与披满银霜的百年古松。一排排巨大的红色灯笼悬挂在飞檐下，洒下暖橙色的光晕。地面是规整的青石方砖，厚厚的积雪上留有一串孤寂的脚印。高饱和度的红墙与冷蓝色的雪夜形成鲜明视觉对比。境视觉描述...","Shot 1:
duration: 8.0sec
Scene: [High Angle, Long Shot, Slow Pan] 冷蓝色的雪夜，冰冷的蓝灰月光倾洒在盛唐园林庭院中。白雪覆盖的青石方砖上留有一串脚印，远处背景隐约可见刚刚关严门的柴房。镜头顺着脚印的方向缓慢摇摄，小采的背影在积雪中快速远去。夜风吹卷起地面的细雪，在半冻结的汉白玉景观池与太湖石间打着旋。音效: Quick footsteps echoing in the empty courtyard, cold wind howling.

Shot 2:
duration: 6.0sec
Scene: [Full Shot, Static] 镜头随摇摄停止，定格在游廊幽暗的角落。朱红长廊下的巨大红色灯笼散发暖橙色光晕，与冷蓝夜色交织。宋绫雪身穿暗红夹金线华服，静立在冰冷月光照不到的浓重阴影中，注视着小采离去的方向。寒风拂过，宋绫雪的衣摆在黑暗中微微飘动，华服上的金线折射出冷冽的反光，披满银霜的百年古松枝头有积雪簌簌落下。音效: Fabric rustling heavily, soft thud of falling snow."
"15","大小姐，回去歇着吧，宋云看着宋绫雪单薄的衣裙，满是心疼。","大小姐，回去歇着吧","5","","请输入环宏伟的盛唐园林景观。白雪覆盖的朱红长廊蜿蜒穿过庭院，廊柱上镶嵌着暗金色的云纹铜饰。院中心是一个半冻结的汉白玉景观池，池畔矗立着形态怪异的太湖石与披满银霜的百年古松。一排排巨大的红色灯笼悬挂在飞檐下，洒下暖橙色的光晕。地面是规整的青石方砖，厚厚的积雪上留有一串孤寂的脚印。高饱和度的红墙与冷蓝色的雪夜形成鲜明视觉对比。境视觉描述...","Shot 1:
duration: 6.0sec
Scene: [Medium Close-up, Slow Pan] 宏伟的盛唐园林游廊内，冷蓝色的雪夜寒风夹杂着细雪飘落，飞檐下巨大的红灯笼随风微微摇晃，洒下暖橙色的光晕。宋绫雪身形笔挺地站在廊柱旁，单薄的衣裙在寒风中瑟瑟拂动。管事宋云从侧后方的阴影中缓缓走出，双手恭敬地展开一件厚重的深色大氅，将其轻轻披在宋绫雪的肩头。沉重的大氅瞬间压在宋绫雪单薄的肩膀上，厚重的面料与轻薄的衣裙产生明显的物理摩擦与挤压褶皱，大氅边缘随风微微摆动。宋绫雪并未回头，依旧维持着原有的站姿。音效: Howling cold wind, soft footsteps on stone, heavy fabric rustling."
"16","但宋绫雪却面色冰冷，你那天去时，他怎么说的？","你那天去时，他怎么说的？","5","","","Shot 1:
duration: 5.0sec
Scene: [Close-up, Slow Dolly In] 冰冷的月光倾泻在庭院的廊柱上。镜头缓缓向前推移，聚焦于宋绫雪的侧脸。宋绫雪披着厚重的大氅，大氅领口的绒毛在夜风中微微拂动，绒毛位置始终保持固定。宋绫雪面无表情，双唇微启，呼出的温热气息在寒冷的空气中瞬间凝结成浓重的白雾，白雾与冰冷的月光交织后缓缓消散。宋绫雪眼神如冰刀般冷厉，目光中透出高位者的傲慢与烦躁，冷冷地开口询问。音效: Cold wind whistling, cloth rustling, soft breath exhaling."
"17","说是谢您的恩典。","说是谢您的恩典。","2","","请输入环宏伟的盛唐园林景观。白雪覆盖的朱红长廊蜿蜒穿过庭院，廊柱上镶嵌着暗金色的云纹铜饰。院中心是一个半冻结的汉白玉景观池，池畔矗立着形态怪异的太湖石与披满银霜的百年古松。一排排巨大的红色灯笼悬挂在飞檐下，洒下暖橙色的光晕。地面是规整的青石方砖，厚厚的积雪上留有一串孤寂的脚印。高饱和度的红墙与冷蓝色的雪夜形成鲜明视觉对比。境视觉描述...","Shot 1:
duration: 5.0sec
Scene: [Low Angle Over-the-Shoulder Shot, Static] 镜头从宋绫雪的肩膀后方越过，聚焦于前方的宋云。盛唐园林的朱红长廊在雪夜的寒风中显得寂静，巨大的红色灯笼悬挂在飞檐下，洒下暖橙色的光晕，但宋云的大半个身体被廊柱投下的浓重阴影所笼罩，与高饱和度的红墙形成强烈的冷暖明暗对比。宋云微微低头，神态恭顺，但眼神深处透出一丝隐忧，嘴唇微动，沉稳地复述着话语。他呼出的温热气息在冰冷的空气中化作一缕缕白雾缓慢消散，几片细碎的雪花随微风飘落并停留在他的肩头。音效: Low, respectful voice speaking, gentle wind blowing through the ancient pines, faint creaking of wooden lanterns."
"18","恩典？倒是条好狗。宋绫雪冷笑一声转身离去。","恩典？倒是条好狗。","4","","请输入环宏伟的盛唐园林景观。白雪覆盖的朱红长廊蜿蜒穿过庭院，廊柱上镶嵌着暗金色的云纹铜饰。院中心是一个半冻结的汉白玉景观池，池畔矗立着形态怪异的太湖石与披满银霜的百年古松。一排排巨大的红色灯笼悬挂在飞檐下，洒下暖橙色的光晕。地面是规整的青石方砖，厚厚的积雪上留有一串孤寂的脚印。高饱和度的红墙与冷蓝色的雪夜形成鲜明视觉对比。境视觉描述...","Shot 1:
duration: 8.0sec
Scene: [Long Shot, Static Camera] 宏伟的盛唐园林景观处于冷蓝色的雪夜中，白雪覆盖的朱红长廊向深处延伸，廊柱上镶嵌着暗金色的云纹铜饰，飞檐下巨大的红色灯笼洒下暖橙色的光晕，长廊尽头幽暗深邃。宋绫雪发出一声冷笑后决绝转身，宋绫雪身上的大氅在空中扬起优美的弧度。宋绫雪沿着长廊独自走向幽暗深处。大氅拂过地面的积雪，卷起细碎的冰晶。宋绫雪的背影逐渐融入走廊深处的阴影中，积雪上留下一串孤寂的脚印。冷风吹动悬挂的红色灯笼，导致青石方砖上的暖橙色光晕摇曳闪烁。音效: Cold sneer, fabric swoosh, heavy footsteps echoing and fading away, cold wind howling."
"19","宋家如今只有她独挑大梁，将来必定是要招婿入赘的，可她信不过外人，而府中只有相貌出众的我让她顺眼。","","7","","","Shot 1:
duration: 3.5sec
Scene: [Dissolve to Wide Shot, Low Angle, Static] 画面由上一镜的幽暗走廊叠化进入空旷奢华的宋家主厅，浓郁的暖金色夕阳穿透高大的雕花木门倾泻而入，空气中悬浮的微小尘埃在光柱中缓慢翻滚。主厅内摆放着厚重的红木桌椅与金边屏风，但空无一人，巨大的空间与奢华的色调交织出强烈的压抑感与算计的孤独感。音效: Ethereal wind resonance, faint echoing silence.

Shot 2:
duration: 5.0sec
Scene: [POV, High Angle, Slow Zoom In] 视角转为主观俯视，从高处的木栏杆向下望去，视线穿过屋檐的深邃阴影，聚焦在下方明亮的庭院。庭院正中央，楚政身穿洗得发白的粗布衣，正手持竹扫帚清扫青石板。他脊背挺直，挥动扫帚的动作沉稳有力，竹枝与石板摩擦产生轻微的物理形变，将地上的枯叶扫起并在微风中打着旋儿落下。周围的建筑阴影将其严密地框在画面正中心，犹如一件正被居高临下审视的优质物件。音效: Rhythmic scraping of bamboo on stone, dry leaves rustling."
"20","但几次试探被拒后，她的耐心已经耗尽了，我既然不愿，她就绝不会再强求。殊不知，我即将发生令她意向不到的变化。","","8","","","Shot 1:
duration: 3.5sec
Scene: [Extreme Close-Up, Static] 画面硬切至绝对幽暗的柴房内，冰冷沉滞的空气仿佛凝固。纯粹的黑暗中，楚政的双眼陡然睁开。极暗的环境里仅有一丝极微弱的清冷月光透过缝隙打在楚政的瞳孔上，形成冷硬的眼部反光（Eye light）。眼睑急速抬起的动作带起极其细微的气流扰动，在瞳孔急速聚焦的瞬间，眼底深处突兀地闪过一抹细微而炽热的熔金般光芒，犹如裂缝中透出的金辉，瞬间照亮了眼白处细密的血丝，随后迅速隐没于黑暗。音效: Smash cut to sudden dead silence, followed by a single heavy heartbeat thud and a faint golden resonance hum."
"21","过了子时，随着我脑中归零的修复次数刷新，我再次用在了残缺的合身拳上，终于将功法完全修复。","","7","","动漫感极强的冷色调室内。青色砖墙布满裂缝，直棂窗外映照着深蓝色的漫天风雪。室内堆满金黄色的干草，光线昏暗。窗台处有一层厚厚的积雪，冷气在空气中凝结成白色颗粒。请输入环境视觉描述...","Shot 1:
duration: 4.0sec
Scene: [Close-Up, Dolly In] 极暗的冷色调柴房内，青色裂缝砖墙作为昏暗背景，直棂窗外透进深蓝色的风雪微光。空气中悬浮着冷气凝结的白色颗粒。楚政在黑暗中猛然睁大眼睛，瞳孔剧烈收缩。直棂窗外的冷光在干草堆上投下摇曳的阴影。楚政呼出的温热气流与冰冷环境碰撞，将眼前的白色冷凝颗粒瞬间排开。音效: Heavy heartbeat, sharp inhale of icy air.

Shot 2:
duration: 5.0sec
Scene: [Extreme Close-Up, Static] 楚政双眼的极度特写。冷色调的柴房依然保持着极度的黑暗，冰冷的空气中没有任何环境光漫反射。楚政深邃的瞳孔中陡然亮起耀眼的金色光芒，瞳孔表面清晰倒映出虚拟的金色字体与进度条。如“金缮”般的无形金色丝线在楚政瞳孔深处的倒影中快速交织，将残缺的幻影缝合重组。锐利的内部金光仅照亮了楚政眼周的局部皮肤，形成极具冲击力的明暗对比。金光脉动时，楚政的眼睫毛在金光照耀下于皮肤上投射出细微颤动的阴影。音效: High-pitched energy hum, crystalline repairing sound."
"22","下一秒，一套呼吸法瞬间传入我脑海。宋家当初只教了我们拳路，并没有将这种呼吸法流传下来。","","7","","动漫感极强的冷色调室内。青色砖墙布满裂缝，直棂窗外映照着深蓝色的漫天风雪。室内堆满金黄色的干草，光线昏暗。窗台处有一层厚厚的积雪，冷气在空气中凝结成白色颗粒。请输入环境视觉描述...","Shot 1:
duration: 4.5sec
Scene: [Profile Medium Shot, Arc Shot] 昏暗的冷色调室内，青色砖墙布满裂缝，直棂窗外深蓝色的风雪呼啸，窗台积雪深厚，空气中悬浮着凝结的白色冰晶颗粒。强烈的明暗对比下，楚政穿着质感粗糙破旧的衣物，站在金黄色的干草堆旁。镜头缓慢围绕楚政环绕半圈。楚政的身体突然微微一震，胸口随着全新的呼吸法猛地起伏，皮肤下隐约闪烁出流动的金色经络光芒。音效: Wind howling, low frequency heartbeat thump.

Shot 2:
duration: 4.0sec
Scene: [Close-up, Arc Shot] 镜头继续环绕楚政并拉近，聚焦于楚政暴露在破损衣物外的脖颈与手臂。皮肤之下流转的金色光芒如同熔化的铁水，沿着经络的轨迹迅速蔓延，散发出的微热将空气中靠近的白色冰晶颗粒瞬间融化升华。耀眼的暖金色光芒与冰冷幽暗的背景形成剧烈反差，凸显出他破败外表下苏醒的强悍力量。音效: Sizzling of melting ice, deep resonant hum of energy."
"23","而最让我意外的是，这呼吸法竟与我前世无意中接触到的，先秦炼气士的吐纳法有共通之处。","","6","","动漫感极强的冷色调室内。青色砖墙布满裂缝，直棂窗外映照着深蓝色的漫天风雪。室内堆满金黄色的干草，光线昏暗。窗台处有一层厚厚的积雪，冷气在空气中凝结成白色颗粒。请输入环境视觉描述...","Shot 1:
duration: 3.0sec
Scene: [Close-Up, Crash Zoom] 镜头快速推移至楚政眉眼特写。背景是冰冷的青色裂缝砖墙，直棂窗外透入深蓝色的风雪微光，冷气在空气中凝结成白色颗粒缓慢飘浮。楚政眉头微皱，瞳孔在微弱的光线中微微放大，眼神中透出惊愕。音效: Sharp intake of breath, subtle whoosh.

Shot 2:
duration: 4.0sec
Scene: [Extreme Close-Up, Dissolve] 镜头定格在楚政眼部，背景瞬间暗转。深邃的黑暗中，斑驳的先秦古竹简残影与古老篆书虚影在楚政脸侧叠化浮现。一丝犹如金缮修复般的耀眼金光在竹简虚影与楚政的眉心之间流转交融，散发出的微热令周围的冷气颗粒迅速蒸发消散。音效: Low resonant hum, faint wooden slips clinking.

Shot 3:
duration: 3.0sec
Scene: [Close-Up, Static] 虚影迅速消散，画面切回昏暗寒冷的室内现实。深蓝色的风雪冷光再次笼罩楚政的面部。楚政的眼神从惊愕迅速收敛，瞳孔微缩，转为极度的专注与沉静。楚政微张嘴唇，呼出一口浓重的白色雾气，雾气在极寒的空气中迅速翻滚扩散。音效: Crisp wind howling outside, steady and deep exhalation."
